"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.703057333E0,2.274855614E1,-3.326990891E1,-1.502931213E1,4.301469363E1
2.713045333E0,2.274532127E1,-3.325238037E1,-1.488983154E1,4.295087337E1
2.723033333E0,2.264926147E1,-3.325140762E1,-1.496380615E1,4.292505852E1
2.733021333E0,2.264926147E1,-3.325140762E1,-1.496380615E1,4.292505852E1
2.743009333E0,2.293356323E1,-3.334606934E1,-1.465235901E1,4.304184345E1
2.752997333E0,2.290595055E1,-3.344498825E1,-1.461473846E1,4.309107088E1
2.762985333E0,2.296893692E1,-3.355594254E1,-1.441566467E1,4.314376816E1
2.772973333E0,2.275138474E1,-3.345144272E1,-1.432481384E1,4.291648656E1
2.782961333E0,2.277143478E1,-3.352423477E1,-1.436597443E1,4.299760203E1
2.792949333E0,2.280361176E1,-3.370996857E1,-1.429794312E1,4.313696637E1
2.802938333E0,2.276148605E1,-3.347155762E1,-1.433654022E1,4.294143456E1
2.812926333E0,2.260661316E1,-3.359401703E1,-1.433500671E1,4.295473613E1
2.822914333E0,2.266191101E1,-3.363513947E1,-1.435553741E1,4.302285755E1
2.832902333E0,2.246126175E1,-3.387941742E1,-1.439103699E1,4.312105228E1
2.842890333E0,2.231342125E1,-3.361019516E1,-1.440093994E1,4.283597854E1
2.852878333E0,2.224767876E1,-3.386406708E1,-1.433189392E1,4.297833678E1
2.862866333E0,2.219844627E1,-3.391050339E1,-1.433892059E1,4.299183528E1
2.872854333E0,2.215190697E1,-3.395256805E1,-1.448263550E1,4.304916481E1
2.882842333E0,2.206014442E1,-3.387735748E1,-1.471926880E1,4.302304262E1
2.892830333E0,2.193322945E1,-3.402302170E1,-1.478871155E1,4.309685080E1
2.902818333E0,2.180272865E1,-3.392287445E1,-1.491000366E1,4.299335526E1
2.912807333E0,2.170013428E1,-3.400577164E1,-1.496878052E1,4.302734854E1
2.922795333E0,2.175623322E1,-3.392894745E1,-1.495893097E1,4.299158958E1
2.932783333E0,2.146141052E1,-3.402319717E1,-1.515087891E1,4.298510462E1
2.942771333E0,2.141464806E1,-3.381112289E1,-1.544097900E1,4.289758752E1
2.952759333E0,2.143343163E1,-3.411385345E1,-1.565040588E1,4.322131642E1
2.962747333E0,2.126681900E1,-3.379988861E1,-1.571933746E1,4.291628631E1
2.972735333E0,2.106047440E1,-3.383860016E1,-1.584033966E1,4.288951857E1
2.982723333E0,2.099752235E1,-3.382605743E1,-1.576640320E1,4.282146163E1
2.992711333E0,2.089906693E1,-3.391564560E1,-1.563470459E1,4.279586431E1
3.002699333E0,2.077937317E1,-3.378331757E1,-1.593190765E1,4.274249146E1
3.012687333E0,2.068798828E1,-3.397760010E1,-1.602845764E1,4.288801257E1
3.022676333E0,2.067527390E1,-3.380366898E1,-1.621918488E1,4.281608278E1
3.032664333E0,2.044733238E1,-3.369884491E1,-1.648039246E1,4.272363380E1
3.042652333E0,2.040747643E1,-3.362826157E1,-1.648714447E1,4.265150645E1
3.052640333E0,2.031440544E1,-3.371918869E1,-1.674765778E1,4.278016825E1
3.062628333E0,2.035443878E1,-3.361964417E1,-1.694660187E1,4.279919353E1
3.072616333E0,2.025055885E1,-3.366095734E1,-1.710715485E1,4.284623589E1
3.082604333E0,2.007657242E1,-3.339967346E1,-1.733966064E1,4.265291055E1
